profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19,spring_20,spring_21,spring_22,spring_23
high_roughness_0329,high_roughness,85.0,85.0,100.0,100.0,254.7334442138672,8.875244020600803e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1.1333153452142142e-05,6.2294257077155635e-06,1531.1785888671875,1071.509765625,1.9054323274758644e-05,1553.0860595703125
high_roughness_0300,high_roughness,85.0,85.0,100.0,100.0,547.4070434570312,0.0004537191125564277,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.00025000888854265213,4.0039591112872586e-05,2.9467888452927582e-05,762.8363037109375,1136.0670166015625,377.96453857421875
high_roughness_0153,high_roughness,85.0,85.0,100.0,100.0,1363.39013671875,1.0139300684386399e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1.2539686395030003e-05,9.227797818311956e-06,427.27484130859375,1390.9559326171875,1091.693359375,496.5779113769531
high_roughness_0198,high_roughness,85.0,85.0,100.0,100.0,4.6691871830262244e-05,6.234281499928329e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,7.312204616027884e-06,4.703858394350391e-06,4.2799770199053455e-06,1050.7462158203125,1530.0155029296875,169.81826782226562
medium_roughness_0133,medium_roughness,85.0,85.0,100.0,100.0,1047.9931640625,1192.57568359375,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1214.032958984375,1067.0579833984375,7.174273923737928e-05,1051.7603759765625,1243.7974853515625,8.442479884251952e-05
medium_roughness_0039,medium_roughness,85.0,85.0,100.0,100.0,7.3437854553048965e-06,4.425251063366886e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,321.8694763183594,8.971002898761071e-06,1416.46240234375,8.681366125529166e-06,7.0585988396487664e-06,1409.39111328125
high_roughness_0280,high_roughness,85.0,85.0,100.0,100.0,1.1930746950383764e-05,523.8184814453125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1101.2178955078125,1.4926366702638916e-06,392.0384216308594,1.4931641089788172e-05,1.8179394828621298e-05,1084.755859375
high_roughness_0307,high_roughness,85.0,85.0,100.0,100.0,1077.902587890625,1.642860115680378e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,2.356673576286994e-05,676.2509765625,743.6874389648438,1086.0084228515625,0.000891476811375469,0.0001979732041945681
medium_roughness_0370,medium_roughness,85.0,85.0,100.0,100.0,1.3423136806522962e-05,1298.1334228515625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1328.4739990234375,744.0562744140625,749.6876220703125,1.680233617662452e-05,1.3295746612129733e-05,720.5424194335938
low_roughness_0027,low_roughness,85.0,85.0,100.0,100.0,816.2388916015625,2.9237511625979096e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,3.72268223145511e-05,1.8513497707317583e-05,682.7223510742188,952.01416015625,158.7040252685547,707.6795654296875
low_roughness_0275,low_roughness,85.0,85.0,100.0,100.0,510.2589416503906,869.5983276367188,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,854.8486328125,0.2551511824131012,464.34906005859375,278.8772277832031,1242.8043212890625,612.4248046875
medium_roughness_0119,medium_roughness,85.0,85.0,100.0,100.0,73.59107208251953,5.9573972976068035e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,7.061084761517122e-05,4.051282667205669e-05,5.236088327364996e-05,714.4708251953125,556.4320068359375,246.57301330566406
high_roughness_0371,high_roughness,85.0,85.0,100.0,100.0,815.7557983398438,7.4981544457841665e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,222.65328979492188,1569.5911865234375,633.4125366210938,0.0008083698339760303,1.4842008795312722e-06,4.427345174917718e-06
medium_roughness_0273,medium_roughness,85.0,85.0,100.0,100.0,369.20013427734375,1.2138337297074031e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1.5607311070198193e-05,8.835830158204772e-06,1384.52685546875,1002.7373657226562,6.319268140941858e-05,1404.4461669921875
low_roughness_0060,low_roughness,85.0,85.0,100.0,100.0,1.7071148249669932e-05,1116.9654541015625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1143.845703125,579.0467529296875,0.0004569099110085517,2.3610265998286195e-05,7.951776206027716e-05,226.135986328125
high_roughness_0309,high_roughness,85.0,85.0,100.0,100.0,3.247189169997e-06,4.175340563961072e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,4.928589532937622e-06,4.305879883759189e-06,2.596835656731855e-06,26.67816162109375,1554.759765625,2.210469347119215e-06
low_roughness_0070,low_roughness,85.0,85.0,100.0,100.0,90.7825927734375,1.4461665159615222e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1.8751206880551763e-05,1.8825710867531598e-05,2.820683403115254e-05,978.706298828125,407.2875671386719,260.0740661621094
low_roughness_0103,low_roughness,85.0,85.0,100.0,100.0,712.939453125,120.51322174072266,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,70.11522674560547,464.7923583984375,5.3924068197375163e-05,720.8124389648438,955.1521606445312,5.089593105367385e-05
medium_roughness_0285,medium_roughness,85.0,85.0,100.0,100.0,1043.6295166015625,465.5512390136719,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1060.7239990234375,1347.6568603515625,650.948486328125,962.2987670898438,4.646821253118105e-05,9.091569518204778e-05
low_roughness_0076,low_roughness,85.0,85.0,100.0,100.0,0.002494740765541792,793.45361328125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,117.3886489868164,4.428703323355876e-05,4.391391121316701e-05,1118.06884765625,1467.9482421875,259.9149169921875
