profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15
high_roughness_0067,high_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,4.746287686430151e-06,96.17900085449219,1.4524212019750848e-06,1.236969546880573e-05,9.58324562816415e-07,77.40799713134766,7.88418674346758e-06,24.819000244140625,8.875545631781279e-07,104.88099670410156,0.23324304819107056
medium_roughness_0001,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,4.522164545051055e-06,96.17900085449219,1.515030930931971e-06,5.192834578338079e-06,1.1883577144544688e-06,77.40799713134766,2.643005245772656e-06,24.819000244140625,8.210471946767939e-07,104.88099670410156,2.1727134935645154e-06
high_roughness_0368,high_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,5.654557298839791e-06,96.17900085449219,2.0563777525239857e-06,1.372550286760088e-05,1.2195345107102185e-06,77.40799713134766,1.0858071618713439e-05,24.819000244140625,1.3510851886167075e-06,104.88099670410156,9.263570063922089e-06
low_roughness_0380,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,1048.587890625,96.17900085449219,416.3786926269531,9.23354527913034e-05,0.0007151749450713396,77.40799713134766,5.492292621056549e-05,24.819000244140625,269.86572265625,104.88099670410156,0.0002513041254132986
low_roughness_0347,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,4.7796283979550935e-06,96.17900085449219,1.6544544223506819e-06,5.458744453790132e-06,1.2840733916164027e-06,77.40799713134766,2.8557290079334052e-06,24.819000244140625,9.093747053157131e-07,104.88099670410156,2.3876175418990897e-06
low_roughness_0149,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,1.0387037718828651e-06,96.17900085449219,9.134905099017487e-07,2.859631786122918e-05,1.318334398092702e-06,77.40799713134766,1.562025136081502e-05,24.819000244140625,3.039069440546882e-07,104.88099670410156,194.12213134765625
medium_roughness_0235,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,5.35088202013867e-06,96.17900085449219,2.2995504878053907e-06,5.969064659439027e-06,39.07594680786133,77.40799713134766,3.3095893741119653e-06,24.819000244140625,1.2643283753277501e-06,104.88099670410156,2.7864869025506778e-06
medium_roughness_0123,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,7.395527063636109e-06,96.17900085449219,8.744457772991154e-06,9.00692157301819e-06,432.2268981933594,77.40799713134766,5.601661996479379e-06,24.819000244140625,2.3708068965788698e-06,104.88099670410156,38.39584732055664
high_roughness_0179,high_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,1.8230542764285929e-06,96.17900085449219,1.1283229923719773e-06,5.717461317544803e-05,1.4198831195244566e-06,77.40799713134766,3.03994875139324e-05,24.819000244140625,4.525553265466442e-07,104.88099670410156,287.8155517578125
low_roughness_0259,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,3.397830141693703e-07,96.17900085449219,134.5072479248047,5.721440174966119e-06,1384.453125,77.40799713134766,2.8040008146490436e-06,24.819000244140625,8.197919669328257e-06,104.88099670410156,2.6521606741880532e-06
high_roughness_0042,high_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,4.730981800094014e-06,96.17900085449219,1.6522659507245407e-06,5.411762231233297e-06,1.2950185919180512e-06,77.40799713134766,2.8252784431970213e-06,24.819000244140625,9.044542821357027e-07,104.88099670410156,2.3503343982156366e-06
high_roughness_0203,high_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,2.78330230685242e-06,96.17900085449219,4.265159532224061e-07,5.377257366490085e-06,180.55613708496094,77.40799713134766,2.8269466838537483e-06,24.819000244140625,3.4125929460060433e-07,104.88099670410156,2.5713052309583873e-06
low_roughness_0394,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,64.09184265136719,96.17900085449219,1081.400634765625,1.6909732948988676e-05,1279.2193603515625,77.40799713134766,1.0555215339991264e-05,24.819000244140625,365.54931640625,104.88099670410156,5.772734766651411e-06
medium_roughness_0110,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,2.680719717318425e-06,96.17900085449219,8.378663096664241e-07,8.50083688419545e-06,1.0075186764879618e-06,77.40799713134766,4.1946177589125e-06,24.819000244140625,3.287707102117565e-07,104.88099670410156,115.31783294677734
high_roughness_0195,high_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,1.8734644982032478e-06,96.17900085449219,8.591557707404718e-05,7.193390956672374e-06,1204.359130859375,77.40799713134766,3.825991825578967e-06,24.819000244140625,2.6507186134949734e-07,104.88099670410156,3.744162086150027e-06
low_roughness_0032,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,4.598172836267622e-06,96.17900085449219,1.5528738686043653e-06,5.2861369113088585e-06,1.2106905842301785e-06,77.40799713134766,2.715251639529015e-06,24.819000244140625,8.475318509226781e-07,104.88099670410156,2.2422684651246527e-06
high_roughness_0353,high_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,432.1879577636719,96.17900085449219,4.111408088647295e-06,1.1805038411694113e-05,5.784623340332473e-07,77.40799713134766,7.2133680077968165e-06,24.819000244140625,3.751990334421862e-06,104.88099670410156,14.023791313171387
medium_roughness_0252,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,5.670920472766738e-06,96.17900085449219,2.5753643058124e-06,5.878826868865872e-06,1.4945789189368952e-05,77.40799713134766,3.2427237783849705e-06,24.819000244140625,1.3357584975892678e-06,104.88099670410156,2.5834597181528807e-06
medium_roughness_0245,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,4.658749730879208e-06,96.17900085449219,1.5722879425084102e-06,5.361214789445512e-06,1.2130217328376602e-06,77.40799713134766,2.76654554909328e-06,24.819000244140625,8.653620966470044e-07,104.88099670410156,2.3043846795189893e-06
medium_roughness_0249,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,2.3479326500819298e-06,96.17900085449219,1.0076117860080558e-06,1.4572016880265437e-05,1.2202220887047588e-06,77.40799713134766,7.809770977473818e-06,24.819000244140625,4.003514959549648e-07,104.88099670410156,152.197021484375
medium_roughness_0283,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,817.0633544921875,96.17900085449219,45.51902389526367,2.626457171572838e-05,1.4537774404743686e-05,77.40799713134766,1.5904892279650085e-05,24.819000244140625,4.1575749492039904e-05,104.88099670410156,124.55162048339844
low_roughness_0292,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,4.8528136176173575e-06,96.17900085449219,1.73017974702816e-06,5.557968961511506e-06,1.356181996925443e-06,77.40799713134766,2.9470204481185647e-06,24.819000244140625,9.562255627315608e-07,104.88099670410156,2.465298166498542e-06
low_roughness_0392,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,0.00011257752339588478,96.17900085449219,1168.002685546875,8.54326117405435e-06,1332.499267578125,77.40799713134766,4.420612185640493e-06,24.819000244140625,0.0004468256956897676,104.88099670410156,4.508290203375509e-06
low_roughness_0128,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,3.136263785563642e-06,96.17900085449219,1.1159000905536232e-06,7.665316843485925e-06,1.0458036285854178e-06,77.40799713134766,3.331938614792307e-06,24.819000244140625,4.895534857496386e-07,104.88099670410156,144.36170959472656
high_roughness_0321,high_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,8.476506627630442e-05,96.17900085449219,525.1876220703125,9.59459339355817e-06,1154.8551025390625,77.40799713134766,4.2614165067789145e-06,24.819000244140625,0.0001072662926162593,104.88099670410156,6.159488293633331e-06
low_roughness_0236,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,2.197972435169504e-06,96.17900085449219,7.576967391287326e-07,1.3097932423988823e-05,9.415084605279844e-07,77.40799713134766,6.9661195993830916e-06,24.819000244140625,3.036763303043699e-07,104.88099670410156,137.10704040527344
low_roughness_0009,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,118.72122192382812,96.17900085449219,382.69122314453125,0.0003322215343359858,406.5235595703125,77.40799713134766,0.00024171345285139978,24.819000244140625,89.6089096069336,104.88099670410156,0.00024050181673374027
medium_roughness_0290,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,2.4172509256459307e-06,96.17900085449219,7.658799177079345e-07,7.338842351600761e-07,6.57157954719878e-07,77.40799713134766,4.4807703147853317e-07,24.819000244140625,3.855757597648335e-07,104.88099670410156,322.1054992675781
