candidate,spring_count,quick_feasible,minimum_spring_spacing_m,authority_score,residual_mean_n,residual_max_n,path
39,32,True,0.09647098183631897,30.49251937866211,0.06167823448777199,0.1035219356417656,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0039_32s.json
40,32,True,0.08717774599790573,27.55097007751465,0.5947279930114746,7.048517227172852,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0040_32s.json
41,32,True,0.08967059850692749,32.4189338684082,4.536315441131592,57.32539749145508,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0041_32s.json
42,32,True,0.10001468658447266,31.482269287109375,0.05618658661842346,0.09254754334688187,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0042_32s.json
43,32,True,0.09416287392377853,29.024465560913086,0.056195780634880066,0.10114450007677078,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0043_32s.json
44,32,True,0.11260013282299042,25.595500946044922,0.04574381560087204,0.06866548955440521,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0044_32s.json
45,32,True,0.06422905623912811,30.74713897705078,0.05304592475295067,0.10635972023010254,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0045_32s.json
46,32,False,0.025822537019848824,,,,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0046_32s.json
47,32,True,0.09586238861083984,28.822582244873047,0.06273307651281357,0.12635113298892975,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0047_32s.json
48,32,True,0.08402162045240402,25.2480411529541,2.2779548168182373,23.564212799072266,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0048_32s.json
49,32,True,0.08676406741142273,24.846454620361328,0.06631648540496826,0.12636058032512665,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0049_32s.json
50,32,True,0.09646812826395035,24.973735809326172,3.3317010402679443,42.73685836791992,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0050_32s.json
51,32,True,0.10005223006010056,30.490753173828125,9.836296081542969,43.71491241455078,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0051_32s.json
52,32,True,0.09060966223478317,27.875526428222656,0.06002046912908554,0.11110158264636993,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0052_32s.json
53,32,True,0.0972786694765091,29.02345848083496,0.19369839131832123,1.8821979761123657,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0053_32s.json
54,32,True,0.08198170363903046,29.394258499145508,0.05159476026892662,0.08918202668428421,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0054_32s.json
55,32,True,0.1012510284781456,29.061975479125977,3.8677594661712646,49.466796875,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0055_32s.json
56,32,True,0.11199142783880234,28.567922592163086,0.0558699332177639,0.13093900680541992,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0056_32s.json
57,32,True,0.09765312820672989,26.349584579467773,0.048755843192338943,0.09041739255189896,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0057_32s.json
58,32,True,0.09591878205537796,30.981653213500977,0.0652366429567337,0.10841414332389832,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0058_32s.json
59,32,True,0.057381149381399155,24.166776657104492,0.6191195249557495,7.399858474731445,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0059_32s.json
60,40,True,0.05219191685318947,37.28641128540039,0.06915315240621567,0.15516208112239838,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0060_40s.json
61,40,True,0.06512916833162308,35.99870300292969,0.6799620985984802,8.113110542297363,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0061_40s.json
62,40,True,0.07237681746482849,35.726463317871094,3.0805060863494873,39.23134231567383,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0062_40s.json
63,40,True,0.056394580751657486,38.268043518066406,6.864457130432129,77.8184814453125,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0063_40s.json
64,40,True,0.0854281559586525,37.243404388427734,0.05393350496888161,0.08425695449113846,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0064_40s.json
65,40,False,0.011495971120893955,,,,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0065_40s.json
66,40,True,0.07934288680553436,38.723121643066406,0.049715347588062286,0.08048109710216522,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0066_40s.json
67,40,False,0.04661741480231285,,,,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0067_40s.json
68,40,True,0.06271909177303314,38.77853012084961,0.07728429138660431,0.17263983190059662,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0068_40s.json
69,40,True,0.07083799690008163,35.90428924560547,5.50762939453125,70.92082977294922,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0069_40s.json
70,40,False,0.039863843470811844,,,,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0070_40s.json
71,40,True,0.07898111641407013,35.56302261352539,0.546450138092041,6.452358722686768,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0071_40s.json
72,40,True,0.07878211885690689,40.403709411621094,12.416105270385742,50.09754943847656,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0072_40s.json
73,40,True,0.05134807154536247,39.938846588134766,4.357194423675537,55.91518783569336,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0073_40s.json
74,40,True,0.0750981941819191,37.5679931640625,0.15599511563777924,1.4607656002044678,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0074_40s.json
75,40,True,0.0666477382183075,39.10660934448242,0.041691020131111145,0.07317245006561279,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0075_40s.json
76,40,False,0.034948207437992096,,,,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0076_40s.json
