t,theta,theta_dot,tau_target,tau_spring,residual_torque,baseline_mechanical_power,motor_mechanical_power,baseline_energy_burden_power,motor_energy_burden_power,baseline_electrical_draw_power,motor_electrical_draw_power,baseline_braking_power,motor_braking_power,baseline_regenerated_power,motor_regenerated_power
0.5806451613,-0.2541035134,-3.0180778106,-68.5760120315,1.1398097762,-69.7158218077,206.9677402509,210.4077748447,243.4914591187,247.5385586408,243.4914591187,247.5385586408,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.6129032258,-0.3410578344,-2.6955839521,-75.8369708979,1.5117245251,-77.3486954230,204.4249217272,208.4999020971,240.4999079144,245.2940024672,240.4999079144,245.2940024672,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.6451612903,-0.4140492076,-2.2627325699,-81.9319797744,1.8189769315,-83.7509567059,185.3901591496,189.5060174964,218.1060695877,222.9482558781,218.1060695877,222.9482558781,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.6774193548,-0.4700893576,-1.7372446504,-86.6115082816,2.0521961486,-88.6637044302,150.4653794239,154.0305462046,177.0180934399,181.2124072995,177.0180934399,181.2124072995,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.7096774194,-0.5068839941,-1.1406337308,-89.6839759725,2.1950285634,-91.8790045359,102.2965681060,104.8002917254,120.3489036541,123.2944608535,120.3489036541,123.2944608535,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.7419354839,-0.5229267403,-0.4973251322,-91.0235956588,2.2607039944,-93.2842996533,45.2683217486,46.3926266616,53.2568491160,54.5795607783,53.2568491160,54.5795607783,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.7741935484,-0.5175608043,0.1663440156,-90.5755231533,2.2378435928,-92.8133667461,-15.0666962408,-15.4389481304,6.0266784963,6.1755792522,0.0000000000,0.0000000000,15.0666962408,15.4389481304,9.0400177445,9.2633688783
0.8064516129,-0.4910058682,0.8232030200,-88.3581025969,2.1262685261,-90.4843711230,-72.7366568991,-74.4870075711,29.0946627597,29.7948030285,0.0000000000,0.0000000000,72.7366568991,74.4870075711,43.6419941395,44.6922045427
0.8387096774,-0.4443490941,1.4463599960,-84.4621154477,1.9409570832,-86.4030725310,-122.1626249601,-124.9699476392,48.8650499840,49.9879790557,0.0000000000,0.0000000000,122.1626249601,124.9699476392,73.2975749761,74.9819685835
0.8709677419,-0.3795006160,2.0103028238,-79.0470638775,1.6731091331,-80.7201730106,-158.9085357261,-162.2719917409,63.5634142904,64.9087966964,0.0000000000,0.0000000000,158.9085357261,162.2719917409,95.3451214356,97.3631950446
0.9032258065,-0.2991153380,2.4919436178,-72.3346407336,1.3358794812,-73.6705202148,-180.2538463225,-183.5827826698,72.1015385290,73.4331130679,0.0000000000,0.0000000000,180.2538463225,183.5827826698,108.1523077935,110.1496696019
0.9354838710,-0.2064842429,2.8715639473,-64.5996534084,0.9342212835,-65.5338746919,-185.5020357362,-188.1847118926,74.2008142945,75.2738847571,0.0000000000,0.0000000000,185.5020357362,188.1847118926,111.3012214417,112.9108271356
0.9677419355,-0.1053996586,3.1336221114,-55.1590525346,0.4863947134,-55.6454472480,-172.8476266670,-174.3718038959,69.1390506668,69.7487215583,0.0000000000,0.0000000000,172.8476266670,174.3718038959,103.7085760002,104.6230823375
1.0000000000,-0.0000000000,3.2673894181,-24.9921665036,-0.0010175793,-24.9911489243,-81.6591403690,-81.6558155413,32.6636561476,32.6623262165,0.0000000000,0.0000000000,81.6591403690,81.6558155413,48.9954842214,48.9934893248
