t,theta,theta_dot,tau_target,tau_spring,residual_torque,baseline_mechanical_power,motor_mechanical_power,baseline_energy_burden_power,motor_energy_burden_power,baseline_electrical_draw_power,motor_electrical_draw_power,baseline_braking_power,motor_braking_power,baseline_regenerated_power,motor_regenerated_power
2.2955974843,0.5022566589,-0.6129074488,-23.4671205580,-23.7721296449,0.3050090869,14.3831729923,-0.1869423413,16.9213799909,0.0747769365,16.9213799909,0.0000000000,0.0000000000,0.1869423413,0.0000000000,0.1121654048
2.3270440252,0.4634386419,-1.2344129390,-43.6225230655,-44.8985259262,1.2760028608,53.8482069034,-1.5751144415,63.3508316511,0.6300457766,63.3508316511,0.0000000000,0.0000000000,1.5751144415,0.0000000000,0.9450686649
2.3584905660,0.4065869437,-1.8078840025,-73.1415183758,-65.6883819001,-7.4531364756,132.2313809897,13.4744062027,155.5663305761,15.8522425914,155.5663305761,15.8522425914,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.3899371069,0.3339138214,-2.3110052918,-77.5739025154,-73.8693043335,-3.7045981819,179.2736992170,8.5613460022,210.9102343729,10.0721717673,210.9102343729,10.0721717673,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.4213836478,0.2482471873,-2.7241989639,-24.1831706907,-78.7968411506,54.6136704599,65.8797685389,-148.7785044803,77.5056100458,59.5114017921,77.5056100458,0.0000000000,0.0000000000,148.7785044803,0.0000000000,89.2671026882
2.4528301887,0.1529205675,-3.0313865085,18.7758816197,-0.7623432395,19.5382248592,-56.9169542271,-59.2279112382,22.7667816908,23.6911644953,0.0000000000,0.0000000000,56.9169542271,59.2279112382,34.1501725362,35.5367467429
2.4842767296,0.0516433849,-3.2206144074,-10.2110929578,-0.2467495648,-9.9643433931,32.8859930953,32.0913078920,38.6894036415,37.7544798729,38.6894036415,37.7544798729,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.5157232704,-0.0516433849,-3.2845192789,-39.7732400493,0.2439619472,-40.0172019965,130.6359737257,131.4372714445,153.6893808538,154.6320840523,153.6893808538,154.6320840523,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.5471698113,-0.1529205675,-3.2206144074,-60.1269183101,0.6949387710,-60.8218570811,193.6456193819,195.8837492002,227.8183757434,230.4514696473,227.8183757434,230.4514696473,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.5786163522,-0.2482471873,-3.0313865085,-68.0869904116,1.1133747951,-69.2003652067,206.3979841380,209.7730534707,242.8211578094,246.7918276126,242.8211578094,246.7918276126,0.0000000000,0.0000000000,0.0000000000,0.0000000000
