profile,family,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
flat_terrain_0049,flat_terrain,8.269278,58.055142,7.578192,15.167654
flat_terrain_0059,flat_terrain,12.447504,46.937658,11.340670,20.911932
mixed_terrain_0017,mixed_terrain,8.859564,82.713376,7.363500,17.682569
mixed_terrain_0012,mixed_terrain,18.504034,35.973138,15.432629,32.107635
flat_terrain_0001,flat_terrain,12.690140,44.393271,11.374133,21.252352
rough_terrain_0051,rough_terrain,8.724228,83.186599,6.818041,18.834122
flat_terrain_0020,flat_terrain,16.247407,14.266593,14.553406,31.834014
rough_terrain_0023,rough_terrain,16.511859,57.150480,15.469544,24.370348
flat_terrain_0006,flat_terrain,1.307550,92.095612,1.153876,2.632930
rough_terrain_0020,rough_terrain,9.024185,80.766543,6.995034,19.580855
rough_terrain_0065,rough_terrain,10.528585,77.846458,8.961936,20.188374
rough_terrain_0062,rough_terrain,29.198188,46.977563,26.595662,45.098547
flat_terrain_0035,flat_terrain,15.122767,-6.846701,12.927630,28.515301
mixed_terrain_0076,mixed_terrain,16.854399,42.990743,16.566981,22.304399
mixed_terrain_0099,mixed_terrain,11.265886,74.585766,9.287437,24.131065
rough_terrain_0073,rough_terrain,12.338118,67.370305,10.693743,24.183922
mixed_terrain_0058,mixed_terrain,16.201085,55.946051,13.184398,30.625136
flat_terrain_0046,flat_terrain,6.086101,77.628673,4.448643,12.929803
flat_terrain_0032,flat_terrain,4.711093,79.348527,3.713101,9.872334
rough_terrain_0017,rough_terrain,10.115673,82.820580,8.520912,23.864766
flat_terrain_0093,flat_terrain,3.932965,79.021304,3.460946,6.632536
mixed_terrain_0051,mixed_terrain,11.173236,70.780297,9.677762,21.059215
rough_terrain_0018,rough_terrain,18.056148,59.265232,15.193643,32.280382
rough_terrain_0088,rough_terrain,15.142008,70.559169,12.321040,36.913463
mixed_terrain_0024,mixed_terrain,12.230277,31.268639,11.310220,16.762802
rough_terrain_0029,rough_terrain,4.496906,86.096030,3.670294,11.386375
rough_terrain_0043,rough_terrain,8.672567,82.119286,6.465637,21.318770
flat_terrain_0087,flat_terrain,4.791797,74.292359,4.069331,8.538923
flat_terrain_0018,flat_terrain,7.523484,65.271044,6.501016,11.952003
mixed_terrain_0075,mixed_terrain,9.763328,75.491771,8.712937,15.354144
mixed_terrain_0066,mixed_terrain,9.637716,75.222212,7.631791,20.672220
flat_terrain_0065,flat_terrain,13.562502,41.524381,12.355177,22.487775
mixed_terrain_0019,mixed_terrain,4.827716,85.324129,3.892711,16.987052
flat_terrain_0042,flat_terrain,14.799680,4.740702,11.706824,25.298014
mixed_terrain_0074,mixed_terrain,6.521358,79.184605,5.312571,13.385812
flat_terrain_0095,flat_terrain,4.239458,86.311206,3.111142,9.366065
mixed_terrain_0056,mixed_terrain,16.051820,49.532840,15.165919,28.110719
flat_terrain_0075,flat_terrain,6.158510,69.062230,5.436979,11.377440
rough_terrain_0031,rough_terrain,12.727754,67.811146,10.962913,21.432408
rough_terrain_0083,rough_terrain,15.254051,73.506990,12.417922,44.631889
mixed_terrain_0007,mixed_terrain,7.758021,76.670253,6.846566,16.801913
flat_terrain_0025,flat_terrain,6.763040,69.552178,5.375269,13.470589
mixed_terrain_0003,mixed_terrain,7.187887,83.676631,4.970271,18.729113
flat_terrain_0096,flat_terrain,21.252787,4.890560,18.030368,39.149074
mixed_terrain_0008,mixed_terrain,9.844168,70.953462,8.767645,17.382166
rough_terrain_0006,rough_terrain,29.090638,59.402651,25.650899,44.355901
rough_terrain_0081,rough_terrain,22.640410,58.472433,19.389669,39.841841
flat_terrain_0037,flat_terrain,6.970466,57.279858,6.334747,10.240368
flat_terrain_0045,flat_terrain,19.502839,-16.454446,18.292471,27.257297
flat_terrain_0097,flat_terrain,9.623070,32.702115,8.696427,14.418065
rough_terrain_0071,rough_terrain,9.511664,79.625255,8.053855,23.893169
mixed_terrain_0057,mixed_terrain,10.747267,77.374299,9.302168,21.190283
rough_terrain_0000,rough_terrain,13.396349,63.715655,10.020678,32.562791
mixed_terrain_0055,mixed_terrain,8.345228,71.943816,7.220457,15.171752
rough_terrain_0005,rough_terrain,7.329563,77.299926,5.899206,17.782781
rough_terrain_0010,rough_terrain,28.098801,63.922952,22.848555,51.055393
mixed_terrain_0036,mixed_terrain,11.812261,50.650405,10.857456,20.402046
flat_terrain_0057,flat_terrain,13.836000,23.715526,11.124699,26.101252
rough_terrain_0044,rough_terrain,15.946663,64.228119,14.499078,29.894245
mixed_terrain_0040,mixed_terrain,17.309920,64.988817,13.916873,35.314574
mixed_terrain_0038,mixed_terrain,9.258187,71.507665,8.328460,16.402211
flat_terrain_0021,flat_terrain,6.039034,67.295215,5.615086,8.608723
mixed_terrain_0067,mixed_terrain,8.293317,75.587417,6.792709,16.309217
rough_terrain_0004,rough_terrain,6.921566,77.771861,5.979956,14.422516
mixed_terrain_0050,mixed_terrain,5.380729,69.638761,4.285787,12.077398
mixed_terrain_0071,mixed_terrain,13.276667,66.030735,12.136388,19.770770
rough_terrain_0047,rough_terrain,17.180358,76.017515,12.260092,33.544412
mixed_terrain_0010,mixed_terrain,5.584081,79.005240,4.781032,9.684079
mixed_terrain_0081,mixed_terrain,8.418031,79.138221,7.415977,15.547724
rough_terrain_0007,rough_terrain,8.309930,80.118885,6.096175,19.977139
mixed_terrain_0020,mixed_terrain,22.424654,50.129620,17.675402,49.155159
rough_terrain_0085,rough_terrain,8.911127,79.249990,7.293613,20.508577
mixed_terrain_0032,mixed_terrain,15.138449,63.449919,12.857483,27.160364
rough_terrain_0096,rough_terrain,15.024325,71.812736,13.255297,24.354202
flat_terrain_0041,flat_terrain,11.405676,18.646470,9.886387,18.858763
