profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19,spring_20,spring_21,spring_22,spring_23,spring_24,spring_25,spring_26,spring_27,spring_28,spring_29
high_roughness_0083,high_roughness,85.0,85.0,100.0,100.0,0.0018556860741227865,628.9346313476562,382.918212890625,0.00410086615011096,1.342437744140625,32.586883544921875,601.3595581054688,0.0011003572726622224,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.0012968516675755382,676.8536376953125,0.00015733533655293286,614.7361450195312,251.47412109375,0.00018409684707876295
low_roughness_0333,low_roughness,85.0,85.0,100.0,100.0,1042.0426025390625,0.00011499896936584264,0.0022186804562807083,1.0407312402094249e-05,1.9486249584588222e-05,110.50968933105469,1.7655824194662273e-05,1264.3634033203125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1275.0533447265625,0.00023539119865745306,5.635988054564223e-05,2.7907188268727623e-05,1509.1943359375,291.2646179199219
low_roughness_0343,low_roughness,85.0,85.0,100.0,100.0,0.0015813506906852126,0.00036229914985597134,0.00033127411734312773,12.494704246520996,13.431148529052734,0.00042258467874489725,866.3179931640625,445.2520446777344,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,583.6865844726562,1081.1839599609375,418.64251708984375,845.6392822265625,171.64402770996094,0.00850602239370346
high_roughness_0125,high_roughness,85.0,85.0,100.0,100.0,339.9952392578125,3.273943730164319e-05,3.367999306647107e-05,147.61439514160156,0.004355522803962231,3.7612469895975664e-05,1153.7877197265625,1282.0587158203125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1316.982666015625,1359.5931396484375,415.73468017578125,1075.2080078125,0.00013964103709440678,194.3923797607422
low_roughness_0195,low_roughness,85.0,85.0,100.0,100.0,7.886219827923924e-05,0.0008189105428755283,167.72438049316406,9.516039426671341e-05,9.369568579131737e-05,0.01717197895050049,409.1147155761719,941.7738037109375,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,926.8840942382812,0.004957434721291065,7.288611232070252e-05,869.6828002929688,1234.2032470703125,8.585463365307078e-05
medium_roughness_0316,medium_roughness,85.0,85.0,100.0,100.0,0.0014680082676932216,0.00017402936646249145,0.00018100305169355124,51.093589782714844,0.005188757088035345,0.0002264798677060753,894.4154052734375,38.151397705078125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,351.2039794921875,1145.3065185546875,0.002332942560315132,873.43408203125,61.613468170166016,0.0003246314590796828
high_roughness_0186,high_roughness,85.0,85.0,100.0,100.0,62.12136459350586,212.3821563720703,192.3956756591797,0.0002421755634713918,0.00012172802962595597,0.0003677993081510067,0.0001292273518629372,287.53009033203125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,483.78631591796875,0.00020072040206287056,3.920482049579732e-05,0.00018063525203615427,938.378662109375,4.0947947127278894e-05
medium_roughness_0366,medium_roughness,85.0,85.0,100.0,100.0,876.9518432617188,0.0010377108119428158,443.5953674316406,6.191546708578244e-05,6.371355993906036e-05,0.0006526923389174044,2.358083293074742e-05,959.3175048828125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,977.422607421875,0.00010131557064596564,4.289593198336661e-05,4.992053072783165e-05,1273.7286376953125,6.817990652052686e-05
high_roughness_0338,high_roughness,85.0,85.0,100.0,100.0,0.0023813655134290457,0.002052814932540059,0.0019790695514529943,0.002161481650546193,0.0019879078026860952,0.0018474807729944587,496.6008605957031,521.6470947265625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,546.9216918945312,530.8093872070312,0.0009875304531306028,517.3600463867188,511.81231689453125,0.0009857449913397431
high_roughness_0334,high_roughness,85.0,85.0,100.0,100.0,477.7032775878906,0.00011286841618129984,5.8582583733368665e-05,873.3649291992188,9.968088852474466e-05,3.5379409382585436e-05,1021.2174682617188,0.004417055752128363,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,792.2158203125,1249.1602783203125,5.8170180636807345e-06,990.5160522460938,5.32125704921782e-05,8.665335371915717e-06
