iteration,residual_rmse_nm,loss,offload_pct
106,39.497615814208984,34255.4765625,30.140763521194458
107,39.43840408325195,34097.7109375,30.258917808532715
108,39.38011169433594,33942.74609375,30.375510454177856
109,39.322776794433594,33790.609375,30.490565299987793
110,39.26647186279297,33641.3671875,30.60416579246521
111,39.21123123168945,33495.0703125,30.716270208358765
112,39.15707778930664,33351.74609375,30.826866626739502
113,39.10403060913086,33211.41015625,30.935925245285034
114,39.05213165283203,33074.0859375,31.04352355003357
115,39.00141143798828,32939.7890625,31.149673461914062
116,38.95188522338867,32808.53515625,31.25435709953308
117,38.90351486206055,32680.1796875,31.357699632644653
118,38.85627365112305,32554.66015625,31.4596951007843
119,38.81014633178711,32431.98046875,31.560248136520386
120,38.765052795410156,32311.96484375,31.659382581710815
121,38.72090148925781,32194.421875,31.757164001464844
122,38.67765426635742,32079.251953125,31.853628158569336
123,38.63529968261719,31966.43359375,31.948763132095337
124,38.59381103515625,31855.865234375,32.04264044761658
125,38.553123474121094,31747.412109375,32.135313749313354
126,38.51316833496094,31640.9375,32.22678303718567
127,38.473876953125,31536.328125,32.317054271698
