profile,family,roughness_score,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
rough_terrain_0014,rough_terrain,0.592261,16.165110,51.225484,14.394281,49.799037
rough_terrain_0047,rough_terrain,0.632365,18.661526,44.603491,17.031129,40.583540
flat_terrain_0012,flat_terrain,0.345575,8.146372,79.515784,6.428418,38.469917
mixed_terrain_0070,mixed_terrain,0.550579,18.378625,85.332689,14.701026,64.247474
rough_terrain_0058,rough_terrain,0.647895,21.255657,78.324234,16.674973,84.232231
flat_terrain_0085,flat_terrain,0.465034,13.524442,75.990996,10.894910,38.347746
mixed_terrain_0086,mixed_terrain,0.567815,17.825991,83.226847,13.662887,75.504532
mixed_terrain_0036,mixed_terrain,0.512035,15.661328,77.411590,12.777195,54.232073
mixed_terrain_0057,mixed_terrain,0.538203,11.139478,77.967376,9.106358,51.727342
flat_terrain_0078,flat_terrain,0.457391,6.245915,87.041248,4.828907,18.751233
rough_terrain_0051,rough_terrain,0.637030,11.684425,81.852208,8.121243,47.922171
flat_terrain_0074,flat_terrain,0.452361,9.323151,84.229008,7.416832,51.111027
rough_terrain_0017,rough_terrain,0.595530,12.269545,83.802964,9.160057,79.499414
mixed_terrain_0037,mixed_terrain,0.513497,7.675455,54.870378,6.369832,15.792937
mixed_terrain_0077,mixed_terrain,0.554698,12.186530,84.926814,9.567391,40.490221
flat_terrain_0041,flat_terrain,0.413338,10.638184,79.305292,8.295152,47.228088
flat_terrain_0009,flat_terrain,0.324415,4.689537,67.704716,3.400563,15.486892
flat_terrain_0004,flat_terrain,0.303863,6.829462,69.795105,5.498991,33.451569
mixed_terrain_0084,mixed_terrain,0.564560,8.815261,86.572422,7.181876,36.773584
flat_terrain_0084,flat_terrain,0.464620,8.745953,72.447110,6.711986,33.907321
rough_terrain_0013,rough_terrain,0.590217,15.796210,85.249161,12.195465,41.892355
mixed_terrain_0060,mixed_terrain,0.543416,12.868833,86.095418,9.930362,35.093643
mixed_terrain_0025,mixed_terrain,0.503740,29.325973,73.146515,23.613972,57.674043
mixed_terrain_0085,mixed_terrain,0.566947,17.224296,76.678910,13.773394,36.208136
rough_terrain_0068,rough_terrain,0.682676,19.650902,77.094592,15.438863,45.485960
flat_terrain_0044,flat_terrain,0.418241,15.371664,88.041276,12.380413,43.430776
mixed_terrain_0059,mixed_terrain,0.541592,24.093898,79.503886,18.823971,70.000054
mixed_terrain_0035,mixed_terrain,0.511296,8.357958,88.345047,6.099795,38.859144
mixed_terrain_0067,mixed_terrain,0.548852,10.076822,78.152173,8.614229,24.693436
rough_terrain_0061,rough_terrain,0.659553,22.477513,42.181848,17.906058,40.483340
flat_terrain_0025,flat_terrain,0.386064,17.800733,65.314786,15.412304,37.617803
rough_terrain_0021,rough_terrain,0.598334,7.673340,84.517121,5.896299,20.816774
mixed_terrain_0061,mixed_terrain,0.544336,17.492067,61.739581,14.695000,30.457979
