source,cross_stiffness_k,cross_rest_scale,internal_stiffness_k,default_mean_rmse_nm,bounded_fit_mean_rmse_nm,bounded_fit_p90_rmse_nm,nonzero_direct_torque_springs
rank_07_candidate_0032.json,10.0,1.0,90.0,58.55586764302423,12.247719666144018,23.010781621551814,36
rank_07_candidate_0233.json,5.0,0.9,90.0,58.409616816824666,14.63338760936137,26.22446015950394,36
rank_07_candidate_0233.json,5.0,1.0,90.0,58.555770135686465,14.561309151150288,25.968503035622792,36
rank_07_candidate_0233.json,10.0,0.9,90.0,62.20078018997799,14.558422246793532,25.586432060648427,36
rank_07_candidate_0233.json,10.0,1.0,90.0,62.54215972180917,14.503755259720624,25.421967984875604,36
rank_08_candidate_0065.json,5.0,0.9,90.0,53.43169963367329,13.586284931433426,24.025672314709677,36
rank_08_candidate_0065.json,5.0,1.0,90.0,53.51353697802604,13.470457147620056,24.00799703627447,36
rank_08_candidate_0065.json,10.0,0.9,90.0,55.95145710108293,13.371838858690424,23.930378637558995,36
rank_08_candidate_0065.json,10.0,1.0,90.0,56.160744916758446,13.331125735257952,23.910163334263927,36
rank_08_candidate_0204.json,5.0,0.9,90.0,54.50643090782059,14.314458201063488,24.41788285655405,36
rank_08_candidate_0204.json,5.0,1.0,90.0,54.6116361153146,14.196626142419296,24.423263630656805,36
rank_08_candidate_0204.json,10.0,0.9,90.0,57.363182189396845,14.035743155391861,24.339065091492905,36
rank_08_candidate_0204.json,10.0,1.0,90.0,57.62437938319802,13.919985866613342,24.357211506592154,36
rank_09_candidate_0236.json,5.0,0.9,90.0,53.216627314645464,12.887620497253064,23.159674791369554,36
rank_09_candidate_0236.json,5.0,1.0,90.0,53.295801636903136,12.797542023582198,23.098274373713146,36
rank_09_candidate_0236.json,10.0,0.9,90.0,55.65585793636971,12.645803897343203,22.87429368371451,36
rank_09_candidate_0236.json,10.0,1.0,90.0,55.85976569740429,12.613383079620206,22.80992457283383,36
rank_10_candidate_0091.json,5.0,0.9,90.0,58.07233544877031,16.829621041735464,29.529253032524856,36
rank_10_candidate_0091.json,5.0,1.0,90.0,58.22361695291469,16.709247927978318,29.296757705032892,36
